법정동시군구코드,시군구명,법정동읍면동코드,읍면동명
26000,부산광역시,,
26110,중구,,
26110,중구,10100,영주동
26110,중구,10200,대창동1가
26110,중구,10300,대창동2가
26110,중구,10400,중앙동1가
26110,중구,10500,중앙동2가
26110,중구,10600,중앙동3가
26110,중구,10700,중앙동4가
26110,중구,10800,중앙동5가
26110,중구,10900,중앙동6가
26110,중구,11000,중앙동7가
26110,중구,11100,동광동1가
26110,중구,11200,동광동2가
26110,중구,11300,동광동3가
26110,중구,11400,동광동4가
26110,중구,11500,동광동5가
26110,중구,11600,대청동1가
26110,중구,11700,대청동2가
26110,중구,11800,대청동3가
26110,중구,11900,대청동4가
26110,중구,12000,보수동1가
26110,중구,12100,보수동2가
26110,중구,12200,보수동3가
26110,중구,12300,부평동1가
26110,중구,12400,부평동2가
26110,중구,12500,부평동3가
26110,중구,12600,부평동4가
26110,중구,12700,신창동1가
26110,중구,12800,신창동2가
26110,중구,12900,신창동3가
26110,중구,13000,신창동4가
26110,중구,13100,창선동1가
26110,중구,13200,창선동2가
26110,중구,13300,광복동1가
26110,중구,13400,광복동2가
26110,중구,13500,광복동3가
26110,중구,13600,남포동1가
26110,중구,13700,남포동2가
26110,중구,13800,남포동3가
26110,중구,13900,남포동4가
26110,중구,14000,남포동5가
26110,중구,14100,남포동6가
26140,서구,,
26140,서구,10100,동대신동1가
26140,서구,10200,동대신동2가
26140,서구,10300,동대신동3가
26140,서구,10400,서대신동1가
26140,서구,10500,서대신동2가
26140,서구,10600,서대신동3가
26140,서구,10700,부용동1가
26140,서구,10800,부용동2가
26140,서구,10900,부민동1가
26140,서구,11000,부민동2가
26140,서구,11100,부민동3가
26140,서구,11200,토성동1가
26140,서구,11300,토성동2가
26140,서구,11400,토성동3가
26140,서구,11500,아미동1가
26140,서구,11600,아미동2가
26140,서구,11700,토성동4가
26140,서구,11800,토성동5가
26140,서구,11900,초장동
26140,서구,12000,충무동1가
26140,서구,12100,충무동2가
26140,서구,12200,충무동3가
26140,서구,12300,남부민동
26140,서구,12400,암남동
26170,동구,,
26170,동구,10100,초량동
26170,동구,10200,수정동
26170,동구,10300,좌천동
26170,동구,10400,범일동
26200,영도구,,
26200,영도구,10100,대교동1가
26200,영도구,10200,대교동2가
26200,영도구,10300,대평동1가
26200,영도구,10400,대평동2가
26200,영도구,10500,남항동1가
26200,영도구,10600,남항동2가
26200,영도구,10700,남항동3가
26200,영도구,10800,영선동1가
26200,영도구,10900,영선동2가
26200,영도구,11000,영선동3가
26200,영도구,11100,영선동4가
26200,영도구,11200,신선동1가
26200,영도구,11300,신선동2가
26200,영도구,11400,신선동3가
26200,영도구,11500,봉래동1가
26200,영도구,11600,봉래동2가
26200,영도구,11700,봉래동3가
26200,영도구,11800,봉래동4가
26200,영도구,11900,봉래동5가
26200,영도구,12000,청학동
26200,영도구,12100,동삼동
26230,부산진구,,
26230,부산진구,10100,양정동
26230,부산진구,10200,전포동
26230,부산진구,10300,부전동
26230,부산진구,10400,범천동
26230,부산진구,10500,범전동
26230,부산진구,10600,연지동
26230,부산진구,10700,초읍동
26230,부산진구,10800,부암동
26230,부산진구,10900,당감동
26230,부산진구,11000,가야동
26230,부산진구,11100,개금동
26260,동래구,,
26260,동래구,10100,명장동
26260,동래구,10200,안락동
26260,동래구,10300,칠산동
26260,동래구,10400,낙민동
26260,동래구,10500,복천동
26260,동래구,10600,수안동
26260,동래구,10700,명륜동
26260,동래구,10800,온천동
26260,동래구,10900,사직동
26260,동래구,11000,거제동
26260,동래구,11100,연산동
26290,남구,,
26290,남구,10100,망미동
26290,남구,10200,수영동
26290,남구,10300,민락동
26290,남구,10400,광안동
26290,남구,10500,남천동
26290,남구,10600,대연동
26290,남구,10700,용호동
26290,남구,10800,용당동
26290,남구,10900,문현동
26290,남구,11000,우암동
26290,남구,11100,감만동
26320,북구,,
26320,북구,10100,금곡동
26320,북구,10200,화명동
26320,북구,10300,만덕동
26320,북구,10400,덕천동
26320,북구,10500,구포동
26320,북구,10600,삼락동
26320,북구,10700,모라동
26320,북구,10800,덕포동
26320,북구,10900,괘법동
26320,북구,11000,감전동
26320,북구,11100,주례동
26320,북구,11200,학장동
26320,북구,11300,엄궁동
26350,해운대구,,
26350,해운대구,10100,반송동
26350,해운대구,10200,석대동
26350,해운대구,10300,반여동
26350,해운대구,10400,재송동
26350,해운대구,10500,우동
26350,해운대구,10600,중동
26350,해운대구,10700,좌동
26350,해운대구,10800,송정동
26380,사하구,,
26380,사하구,10100,괴정동
26380,사하구,10200,당리동
26380,사하구,10300,하단동
26380,사하구,10400,신평동
26380,사하구,10500,장림동
26380,사하구,10600,다대동
26380,사하구,10700,구평동
26380,사하구,10800,감천동
26410,금정구,,
26410,금정구,10100,두구동
26410,금정구,10200,노포동
26410,금정구,10300,청룡동
26410,금정구,10400,남산동
26410,금정구,10500,선동
26410,금정구,10600,오륜동
26410,금정구,10700,구서동
26410,금정구,10800,장전동
26410,금정구,10900,부곡동
26410,금정구,11000,서동
26410,금정구,11100,금사동
26410,금정구,11200,회동동
26410,금정구,11300,금성동
26440,강서구,,
26440,강서구,10100,대저1동
26440,강서구,10200,대저2동
26440,강서구,10300,강동동
26440,강서구,10400,명지동
26440,강서구,10500,죽림동
26440,강서구,10600,식만동
26440,강서구,10700,죽동동
26440,강서구,10800,봉림동
26440,강서구,10900,송정동
26440,강서구,11000,화전동
26440,강서구,11100,녹산동
26440,강서구,11200,생곡동
26440,강서구,11300,구랑동
26440,강서구,11400,지사동
26440,강서구,11500,미음동
26440,강서구,11600,범방동
26440,강서구,11700,신호동
26440,강서구,11800,동선동
26440,강서구,11900,성북동
26440,강서구,12000,눌차동
26440,강서구,12100,천성동
26440,강서구,12200,대항동
26470,연제구,,
26470,연제구,10100,거제동
26470,연제구,10200,연산동
26500,수영구,,
26500,수영구,10100,망미동
26500,수영구,10200,수영동
26500,수영구,10300,민락동
26500,수영구,10400,광안동
26500,수영구,10500,남천동
26530,사상구,,
26530,사상구,10100,삼락동
26530,사상구,10200,모라동
26530,사상구,10300,덕포동
26530,사상구,10400,괘법동
26530,사상구,10500,감전동
26530,사상구,10600,주례동
26530,사상구,10700,학장동
26530,사상구,10800,엄궁동
26710,기장군,,
26710,기장군,25000,기장읍
26710,기장군,25021,기장읍
26710,기장군,25022,기장읍
26710,기장군,25023,기장읍
26710,기장군,25024,기장읍
26710,기장군,25025,기장읍
26710,기장군,25026,기장읍
26710,기장군,25027,기장읍
26710,기장군,25028,기장읍
26710,기장군,25029,기장읍
26710,기장군,25030,기장읍
26710,기장군,25031,기장읍
26710,기장군,25032,기장읍
26710,기장군,25033,기장읍
26710,기장군,25034,기장읍
26710,기장군,25300,장안읍
26710,기장군,25321,장안읍
26710,기장군,25322,장안읍
26710,기장군,25323,장안읍
26710,기장군,25324,장안읍
26710,기장군,25325,장안읍
26710,기장군,25326,장안읍
26710,기장군,25327,장안읍
26710,기장군,25328,장안읍
26710,기장군,25329,장안읍
26710,기장군,25330,장안읍
26710,기장군,25331,장안읍
26710,기장군,25332,장안읍
26710,기장군,25333,장안읍
26710,기장군,25334,장안읍
26710,기장군,25600,정관읍
26710,기장군,25621,정관읍
26710,기장군,25622,정관읍
26710,기장군,25623,정관읍
26710,기장군,25624,정관읍
26710,기장군,25625,정관읍
26710,기장군,25626,정관읍
26710,기장군,25627,정관읍
26710,기장군,25628,정관읍
26710,기장군,25629,정관읍
26710,기장군,25630,정관읍
26710,기장군,25900,일광읍
26710,기장군,25921,일광읍
26710,기장군,25922,일광읍
26710,기장군,25923,일광읍
26710,기장군,25924,일광읍
26710,기장군,25925,일광읍
26710,기장군,25926,일광읍
26710,기장군,25927,일광읍
26710,기장군,25928,일광읍
26710,기장군,25929,일광읍
26710,기장군,25930,일광읍
26710,기장군,25931,일광읍
26710,기장군,25932,일광읍
26710,기장군,25933,일광읍
26710,기장군,31000,일광면
26710,기장군,31021,일광면
26710,기장군,31022,일광면
26710,기장군,31023,일광면
26710,기장군,31024,일광면
26710,기장군,31025,일광면
26710,기장군,31026,일광면
26710,기장군,31027,일광면
26710,기장군,31028,일광면
26710,기장군,31029,일광면
26710,기장군,31030,일광면
26710,기장군,31031,일광면
26710,기장군,31032,일광면
26710,기장군,31033,일광면
26710,기장군,32000,정관면
26710,기장군,32021,정관면
26710,기장군,32022,정관면
26710,기장군,32023,정관면
26710,기장군,32024,정관면
26710,기장군,32025,정관면
26710,기장군,32026,정관면
26710,기장군,32027,정관면
26710,기장군,32028,정관면
26710,기장군,32029,정관면
26710,기장군,32030,정관면
26710,기장군,33000,철마면
26710,기장군,33021,철마면
26710,기장군,33022,철마면
26710,기장군,33023,철마면
26710,기장군,33024,철마면
26710,기장군,33025,철마면
26710,기장군,33026,철마면
26710,기장군,33027,철마면
26710,기장군,33028,철마면
26710,기장군,33029,철마면
26710,기장군,33030,철마면
26710,기장군,33031,철마면
